iter	RMSE
0	1391.075648
1	1105.756361
2	962.7759514
3	864.9405092
4	805.5234407
5	766.2323474
6	731.7737908
7	711.919756
8	683.0626736
9	668.0270586
10	658.9029296
11	650.8710949
12	637.7851432
13	630.3095574
14	624.5335174
15	614.4586105
16	606.3273793
17	600.7995376
18	596.5731537
19	578.4369783
20	576.1039206
21	573.0414586
22	568.8953803
23	564.0652303
24	557.4355292
25	554.3472972
26	551.1269448
27	548.8733262
28	547.2353706
29	544.5225784
30	542.4763064
31	540.0403111
32	535.6542805
33	532.294308
34	530.1578569
35	527.8756742
36	526.1007445
37	525.3253307
38	522.8114154
39	521.2864469
40	519.2836367
41	518.0793076
42	516.2800168
43	515.1888338
44	511.7340164
45	510.7995183
46	508.543071
47	506.3546682
48	503.7412621
49	501.2973685
50	499.6066237
51	498.4760628
52	496.5040854
53	495.9253352
54	494.1342431
55	492.2716017
56	491.0904128
57	489.499463
58	488.0265206
59	487.5900602
60	486.0546775
61	485.1684395
62	484.3965973
63	483.4348321
64	482.8952227
65	482.3364873
66	481.1344534
67	479.899762
68	478.7687477
69	477.7221007
70	477.6947382
71	476.4263758
72	476.1493768
73	475.9775515
74	474.0132352
75	473.0414895
76	471.4934707
77	468.6035382
78	467.3164651
79	466.7943475
80	465.6510388
81	464.3727144
82	463.9900226
83	462.6945325
84	462.3186381
85	461.5106938
86	460.4626083
87	458.6664891
88	457.285437
89	455.7467675
90	454.319245
91	453.4428147
92	451.8747414
93	451.8307825
94	450.6360945
