iter	Passed	Remaining
0	24	2325
1	48	2275
2	51	1594
3	58	1331
4	63	1139
5	67	1003
6	71	904
7	77	844
8	80	764
9	83	706
10	86	661
11	90	622
12	92	585
13	96	558
14	101	541
15	104	516
16	108	498
17	111	476
18	115	461
19	119	446
20	121	428
21	125	416
22	132	414
23	136	402
24	138	389
25	141	376
26	144	364
27	149	358
28	153	349
29	157	340
30	159	329
31	164	324
32	167	315
33	171	308
34	181	311
35	185	303
36	191	299
37	198	297
38	201	289
39	204	281
40	208	274
41	214	270
42	216	261
43	219	254
44	222	247
45	225	240
46	228	233
47	231	226
48	234	219
49	237	213
50	239	206
51	243	201
52	246	195
53	248	188
54	252	183
55	256	178
56	261	174
57	264	168
58	267	163
59	270	157
60	273	152
61	276	147
62	279	141
63	282	136
64	284	131
65	287	126
66	290	121
67	293	116
68	295	111
69	298	106
70	300	101
71	303	96
72	305	92
73	308	87
74	311	83
75	313	78
76	316	73
77	319	69
78	322	65
79	325	61
80	328	56
81	330	52
82	333	48
83	336	44
84	339	39
85	342	35
86	344	31
87	347	27
88	350	23
89	353	19
90	356	15
91	359	11
92	361	7
93	364	3
94	366	0
